"schema_name","table_name"
"information_schema","sql_features"
"information_schema","sql_implementation_info"
"information_schema","sql_languages"
"information_schema","sql_packages"
"information_schema","sql_sizing"
"information_schema","sql_sizing_profiles"
"pg_catalog","padb_config_harvest"
"pg_catalog","pg_aggregate"
"pg_catalog","pg_am"
"pg_catalog","pg_amop"
"pg_catalog","pg_amproc"
"pg_catalog","pg_attrdef"
"pg_catalog","pg_attrdef_journal"
"pg_catalog","pg_attribute"
"pg_catalog","pg_attribute_acl"
"pg_catalog","pg_attribute_journal"
"pg_catalog","pg_auto_copy_history"
"pg_catalog","pg_auto_copy_job"
"pg_catalog","pg_bar_ddllog"
"pg_catalog","pg_bar_repos"
"pg_catalog","pg_bar_state"
"pg_catalog","pg_cast"
"pg_catalog","pg_catalog_rebuilds"
"pg_catalog","pg_class"
"pg_catalog","pg_class_extended"
"pg_catalog","pg_class_extended_journal"
"pg_catalog","pg_class_journal"
"pg_catalog","pg_class_stage"
"pg_catalog","pg_conf"
"pg_catalog","pg_constraint"
"pg_catalog","pg_constraint_journal"
"pg_catalog","pg_conversion"
"pg_catalog","pg_database"
"pg_catalog","pg_database_extended"
"pg_catalog","pg_datashare"
"pg_catalog","pg_datashare_consumers"
"pg_catalog","pg_datashare_objects"
"pg_catalog","pg_default_acl"
"pg_catalog","pg_default_permission"
"pg_catalog","pg_depend"
"pg_catalog","pg_depend_journal"
"pg_catalog","pg_description"
"pg_catalog","pg_external_database"
"pg_catalog","pg_external_object"
"pg_catalog","pg_external_schema"
"pg_catalog","pg_global_object"
"pg_catalog","pg_global_object_attributes"
"pg_catalog","pg_group"
"pg_catalog","pg_group_extended"
"pg_catalog","pg_highwatermark"
"pg_catalog","pg_iam_permission"
"pg_catalog","pg_identity"
"pg_catalog","pg_identity_provider"
"pg_catalog","pg_index"
"pg_catalog","pg_inherits"
"pg_catalog","pg_integration"
"pg_catalog","pg_integration_database"
"pg_catalog","pg_integration_tablestate"
"pg_catalog","pg_language"
"pg_catalog","pg_largeobject"
"pg_catalog","pg_library"
"pg_catalog","pg_listener"
"pg_catalog","pg_ml_model"
"pg_catalog","pg_namespace"
"pg_catalog","pg_namespace_extended"
"pg_catalog","pg_opclass"
"pg_catalog","pg_operator"
"pg_catalog","pg_permission"
"pg_catalog","pg_permission_mask"
"pg_catalog","pg_permission_policy"
"pg_catalog","pg_permission_roles"
"pg_catalog","pg_permission_users"
"pg_catalog","pg_policy"
"pg_catalog","pg_policy_impl"
"pg_catalog","pg_policy_mask"
"pg_catalog","pg_proc"
"pg_catalog","pg_proc_extended"
"pg_catalog","pg_resize"
"pg_catalog","pg_rewrite"
"pg_catalog","pg_role"
"pg_catalog","pg_role_chain"
